filename,file_id,full_path,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Level_10
2020 Prelim P1 qp.pdf,1GSLSvrAjPjqaF8V9-WQMh5OHL3ohrouB,Principles of Accounting / Prelim / 2020,Principles of Accounting,Prelim,2020,,,,,,,
2020 Prelim Paper 1 Answer Guide.pdf,1OOsw7D6d6cFs1hixZHmevMtGHeOKo_gk,Principles of Accounting / Prelim / 2020,Principles of Accounting,Prelim,2020,,,,,,,
2020 Prelim Paper 2 ans.pdf,1Ae4XshMSaAEIBET5RNZzUeCZ6mTyHphe,Principles of Accounting / Prelim / 2020,Principles of Accounting,Prelim,2020,,,,,,,
2020 Prelim Paper 2 qp.pdf,1mVAujLsTtVo5L3sx4cBnRMWQtv5L1zbg,Principles of Accounting / Prelim / 2020,Principles of Accounting,Prelim,2020,,,,,,,
2021 Prelims P2 .pdf,10FWe9MIeZ6eh8mQr-rchNkg4dVwX7Kep,Principles of Accounting / Prelim / 2021,Principles of Accounting,Prelim,2021,,,,,,,
2021 Prelim Paper 1.pdf,1bB-xcEv6BMUFmrPC8GbsiZcFMmhtNiiy,Principles of Accounting / Prelim / 2021,Principles of Accounting,Prelim,2021,,,,,,,
2021Prelim Paper 2 Answer Guide.pdf,1ZA4cGY2bPi2Nn6ma_vT1fl4dkfHNiCp4,Principles of Accounting / Prelim / 2021,Principles of Accounting,Prelim,2021,,,,,,,
2021 Prelim Paper 1 Answer Guide.pdf,1yedvBtxSNSb9bVWZtGtmOvYjqHW_wtrA,Principles of Accounting / Prelim / 2021,Principles of Accounting,Prelim,2021,,,,,,,
2022 Mid Year Examination Paper 2 QP.pdf,14nSsYPLD4kZB3orNKTv92W1zl18O24pw,Principles of Accounting / Prelim / 2022 / 2022 MYE,Principles of Accounting,Prelim,2022,2022 MYE,,,,,,
2022 Mid Year Exxamination Paper 1 Answer Guide.pdf,1xj4u7G5LNVC7o0FetXpTpgF4agzwfXer,Principles of Accounting / Prelim / 2022 / 2022 MYE,Principles of Accounting,Prelim,2022,2022 MYE,,,,,,
2022 Mid Year Examination Paper 1 QP.pdf,1qNpScIBhoOFjSqIwMPb885nd-hvq27bJ,Principles of Accounting / Prelim / 2022 / 2022 MYE,Principles of Accounting,Prelim,2022,2022 MYE,,,,,,
2022 MYE Paper 2 Answer Guide (students).pdf,1EyNQomu42LtcXUgbCRJHmkGaa2PyoOL8,Principles of Accounting / Prelim / 2022 / 2022 MYE,Principles of Accounting,Prelim,2022,2022 MYE,,,,,,
2022 PU3 Prelimininary Examination 1 QP.pdf,1Hlp0MucJgEOoAwzkmYndD2cMbXY9uhe1,Principles of Accounting / Prelim / 2022 / 2022 Prelim,Principles of Accounting,Prelim,2022,2022 Prelim,,,,,,
2022_PU3_Preliminary_Examination_Paper_2_Answer_Guide_student.pdf,1mVWfQxjSlCx08PZGAdAPEju1LWQl4YYY,Principles of Accounting / Prelim / 2022 / 2022 Prelim,Principles of Accounting,Prelim,2022,2022 Prelim,,,,,,
2022_PU3_Preliminary_Examination_Paper_1_Answer_Guide_student.pdf,1XPmfg6Uzx5A3ffS6hhfeBMrhnDgQ6DL4,Principles of Accounting / Prelim / 2022 / 2022 Prelim,Principles of Accounting,Prelim,2022,2022 Prelim,,,,,,
